X,Y,TYPE,SPEED,DirType,Direction
0.588186,51.449451,4,40,1,111
0.610637,51.448849,4,5,1,88
0.610466,51.44889,4,40,1,277
0.588206,51.44944,4,5,1,290
0.57411,51.58603,4,50,1,119
0.587581,51.579007,4,5,1,139
0.587207,51.579135,4,50,1,319
0.574034,51.585904,4,5,1,301
0.56206,51.5375,4,50,1,340
0.54014,51.55114,4,5,1,334
0.539926,51.551457,4,50,1,158
0.56198,51.537659,4,5,1,142
0.55769,50.85092,4,30,1,257
0.53969,50.85133,4,5,1,279
0.53945,50.851352,4,30,1,93
0.557492,50.850905,4,5,1,89
0.54808,51.58919,4,50,1,274
0.52064,51.59028,4,5,1,274
0.520582,51.590391,4,50,1,98
0.547925,51.589315,4,5,1,92
0.542,51.56397,4,50,1,181
0.539807,51.551763,4,5,1,163
0.540118,51.551425,4,50,1,335
0.54192,51.563838,4,5,1,11
0.53844,51.39953,4,50,1,292
0.53363,51.40025,4,5,1,286
0.533841,51.400319,4,50,1,96
0.538391,51.399586,4,5,1,107
0.521287,51.401128,4,50,1,96
0.533248,51.400394,4,5,1,101
0.533212,51.400266,4,50,1,275
0.520907,51.401041,4,5,1,274
0.518315,51.4013,4,50,1,93
0.520864,51.401173,4,5,1,95
0.520472,51.401077,4,50,1,274
0.51789,51.401233,4,5,1,274
0.508132,51.59206,4,50,1,104
0.520131,51.590434,4,5,1,102
0.520181,51.590314,4,50,1,276
0.507913,51.591965,4,5,1,285
0.492936,52.858217,4,60,1,181
0.49203,52.84306,4,5,1,181
0.492077,52.842982,4,60,1,353
0.492914,52.858356,4,5,1,2
0.491607,51.592565,4,50,1,86
0.507728,51.592173,4,5,1,101
0.507479,51.592031,4,50,1,283
0.491255,51.592481,4,5,1,267
0.489961,52.867127,4,60,1,157
0.49294,52.858485,4,5,1,183
0.492973,52.858646,4,60,1,2
0.489941,52.867225,4,5,1,338
0.48822,52.87117,4,60,1,181
0.489782,52.867362,4,5,1,158
0.489714,52.86747,4,60,1,335
0.488283,52.87104,4,5,1,2
0.48381,52.80111,4,60,1,196
0.48,52.79414,4,5,1,199
0.480014,52.79431,4,60,1,18
0.483953,52.801219,4,5,1,19
0.473,52.78172,4,60,1,19
0.479841,52.794045,4,5,1,21
0.479827,52.793901,4,60,1,198
0.473008,52.781854,4,5,1,200
0.45147,51.53456,4,30,1,234
0.44594,51.53231,4,5,1,236
0.445644,51.532207,4,30,1,237
0.44239,51.52969,4,5,1,212
0.442192,51.529457,4,30,1,203
0.44025,51.527,4,5,1,212
0.440376,51.52717,4,30,1,39
0.442354,51.529727,4,5,1,24
0.442535,51.529995,4,30,1,24
0.445948,51.532342,4,5,1,53
0.446237,51.532462,4,30,1,55
0.451525,51.534607,4,5,1,58
0.44794,51.58575,4,50,1,77
0.491173,51.592542,4,5,1,87
0.490827,51.592433,4,50,1,264
0.447698,51.585604,4,5,1,254
0.435549,51.583982,4,50,1,90
0.447482,51.585673,4,5,1,77
0.447295,51.585549,4,50,1,257
0.435339,51.583896,4,5,1,263
0.43153,51.52175,4,30,1,52
0.44013,51.526957,4,5,1,42
0.439908,51.526831,4,30,1,221
0.431388,51.521593,4,5,1,232
0.42633,51.58392,4,50,1,92
0.435102,51.583987,4,5,1,89
0.434912,51.583854,4,50,1,264
0.426121,51.583808,4,5,1,270
0.42086,51.52053,4,40,1,208
0.382888,51.506856,4,5,1,248
0.3826,51.506958,4,40,1,248
0.36994,51.50394,4,5,1,248
0.37047,51.50419,4,40,1,71
0.379306,51.506521,4,5,1,65
0.379906,51.506453,4,40,1,70
0.419503,51.51961,4,5,1,30
0.37114,52.74572,4,60,1,297
0.33647,52.74706,4,5,1,267
0.33666,52.747052,4,60,1,90
0.37103,52.74583,4,5,1,107
0.324208,52.746901,4,60,1,89
0.336225,52.747059,4,5,1,89
0.336012,52.747041,4,60,1,270
0.324043,52.746863,4,5,1,269
0.30661,51.49511,4,50,1,252
0.29433,51.49453,4,5,1,270
0.29389,51.49469,4,50,1,95
0.30711,51.49544,4,5,1,74
0.300762,52.746593,4,60,1,89
0.323753,52.74689,4,5,1,90
0.32359,52.746871,4,60,1,270
0.300578,52.746551,4,5,1,267
0.28896,52.746464,4,60,1,93
0.300296,52.746604,4,5,1,90
0.300124,52.746548,4,60,1,267
0.288872,52.746464,4,5,1,267
0.272726,51.497689,4,50,1,95
0.287317,51.495106,4,5,1,99
0.287189,51.495061,4,50,1,280
0.272724,51.497577,4,5,1,286
0.263828,51.471742,4,50,1,30
0.266798,51.48176,4,5,1,6
0.26691,51.481616,4,50,1,188
0.26317,51.46956,4,5,1,202
0.257995,51.492994,4,50,1,46
0.272281,51.497723,4,5,1,87
0.272208,51.49766,4,50,1,277
0.25989,51.49419,4,5,1,226
0.255023,52.746997,4,60,1,109
0.288476,52.746476,4,5,1,92
0.288415,52.746462,4,60,1,271
0.255028,52.747052,4,5,1,285
0.247899,51.456832,4,50,1,42
0.263616,51.471468,4,5,1,30
0.262949,51.469294,4,50,1,208
0.24633,51.45503,4,5,1,229
0.243766,51.454101,4,50,1,43
0.247613,51.456613,4,5,1,46
0.23857,51.440451,4,60,1,0
0.23711,51.44356,4,5,1,341
0.238726,51.496133,4,50,1,144
0.257669,51.49276,4,5,1,52
0.25956,51.493976,4,50,1,219
0.238393,51.496214,4,5,1,326
0.238693,51.450741,4,50,1,40
0.243463,51.453883,4,5,1,45
0.23619,51.44875,4,50,1,22
0.23793,51.450227,4,5,1,43
0.23281,52.75394,4,60,1,116
0.254585,52.747082,4,5,1,117
0.254589,52.747118,4,60,1,285
0.232957,52.753925,4,5,1,295
0.18339,51.81483,4,60,1,199
0.17569,51.80031,4,5,1,185
0.17531,51.7995,4,60,1,9
0.183056,51.814811,4,5,1,30
0.16839,51.44247,4,50,1,307
0.15657,51.446371,4,5,1,305
0.15644,51.446615,4,50,1,125
0.16886,51.44247,4,5,1,124
0.15261,51.52411,4,50,1,107
0.238485,51.496349,4,5,1,139
0.238062,51.496466,4,50,1,325
0.152414,51.52396,4,5,1,289
0.161751,51.774035,4,60,1,31
